SYMBOL,DISTRICT,DIVISION,DIV_SYM
LRC,Chicago,GreatLakesandOhioRiverDivision,LRD
LRB,Buffalo,GreatLakesandOhioRiverDivision,LRD
LRH,Huntington,GreatLakesandOhioRiverDivision,LRD
LRL,Louisville,GreatLakesandOhioRiverDivision,LRD
LRN,Nashville,GreatLakesandOhioRiverDivision,LRD
LRP,Pittsburgh,GreatLakesandOhioRiverDivision,LRD
LRE,Detroit,GreatLakesandOhioRiverDivision,LRD
MVS,St.Louis,MississippiValleyDivision,MVD
MVM,Memphis,MississippiValleyDivision,MVD
MVP,St.Paul,MississippiValleyDivision,MVD
MVN,NewOrleans,MississippiValleyDivision,MVD
MVK,Vicksburg,MississippiValleyDivision,MVD
MVR,RockIsland,MississippiValleyDivision,MVD
NAN,NewYork,NorthAtlanticDivision,NAD
NAE,NewEngland,NorthAtlanticDivision,NAD
NAP,Philadelphia,NorthAtlanticDivision,NAD
NWS,Seattle,NorthwesternDivision,NWD
NWW,Walla Walla,NorthwesternDivision,NWD
NWP,Portland,NorthwesternDivision,NWD
NWO,Omaha,NorthwesternDivision,NWD
NWK,Kansas City,NorthwesternDivision,NWD
POH,Honolulu,PacificOceanDivision,POD
POA,Alaska,PacificOceanDivision,POD
SAW,Wilmington,SouthAtlanticDivision,SAD
SAS,Savannah,SouthAtlanticDivision,SAD
SAM,Mobile,SouthAtlanticDivision,SAD
SAJ,Jacksonville,SouthAtlanticDivision,SAD
SAC,Charleston,SouthAtlanticDivision,SAD
SPK,Sacramento,SouthPacificDivision,SPD
SPN,SanFrancisco,SouthPacificDivision,SPD
SPL,LosAngeles,SouthPacificDivision,SPD
SPA,Albuquerque,SouthPacificDivision,SPD
SWL,LittleRock,SouthwesternDivision,SWD
SWT,Tulsa,SouthwesternDivision,SWD
SWG,Galveston,SouthwesternDivision,SWD
SWF,FortWorth,SouthwesternDivision,SWD
NAO,Norfolk,NorthAtlanticDivision,NAD
NAB,Baltimore,NorthAtlanticDivision,NAD
