OBJECTID,SURVEYJOBIDPK,SURVEYAGENCY,CHANNELAREAIDFK,SDSFEATURENAME,SOURCEPROJECTION,SURVEYDATEUPLOADED,SOURCEDATALOCATION,SURVEYDATEEND,SURVEYDATESTART,SURVEYTYPE,PROJECTEDAREA,Hi-Res?
550415,RI_18_PAW_20180910_CS_2018_055,CENAE,CENAE_RI_18_PAW,"Pawcatuck River, Little Narragansett Bay & Watch Hill Cove, RI and CT",Rhode Island,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAE/RI_18_PAW_20180910_CS_2018_055.ZIP,2018-09-10,2018-09-10,CS,4193516.91141674,Yes
550412,CL_05_TNG_20181001_CS,CENWP,CENWP_CL_05_TNG,TONGUE POINT CROSSING,Oregon North,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_05_TNG_20181001_CS.ZIP,2018-10-01,2018-10-01,CS,24972333.3818904,Yes
550413,YB_01_YB1_20181001_CS,CENWP,CENWP_YB_01_YB1,YAQUINA BAY AND HARBOR,Oregon North,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/YB_01_YB1_20181001_CS.ZIP,2018-10-01,2018-10-01,CS,3925247.83002018,Yes
550414,YB_02_YB2_20180927_CS,CENWP,CENWP_YB_02_YB2,HARBOR,Oregon North,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/YB_02_YB2_20180927_CS.ZIP,2018-09-27,2018-09-27,CS,7385775.90468549,Yes
550377,UM_SP_P08_20181002_AD_6906_6916,CEMVP,CEMVP_UM_SP_P08,POOL_08_UPPER_MISSISSIPPI,Minnesota_South,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P08_20181002_AD_6906_6916.ZIP,null,2018-10-02,AD,2678749.78366699,No
550378,UM_SP_P04_20181002_BD_7622_7628,CEMVP,CEMVP_UM_SP_P04,POOL_04_UPPER_MISSISSIPPI,Minnesota_South,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P04_20181002_BD_7622_7628.ZIP,null,2018-10-02,BD,2287499.94610716,No
550416,GH_03_COC_20180919_CS_E_5_13_391,CENWS,CENWS_GH_03_COC,CROSSOVER CHANNEL,Washington South,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWS/GH_03_COC_20180919_CS_E_5_13_391.ZIP,2018-09-19,2018-09-19,CS,12562073.2611845,No
550429,BH_01_SCW_20180717_CS_E_9_7_84,CENWS,CENWS_BH_01_SCW,SQUALICUM CREEK WATERWAY,Washington North,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWS/BH_01_SCW_20180717_CS_E_9_7_84.ZIP,2018-07-17,2018-07-17,CS,5088446.47768214,No
550424,GH_01_ENT_20180906_CS_E_5_11_391,CENWS,CENWS_GH_01_ENT,"BAR, ENTRANCE, PT. CHEHALIS",Washington South,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWS/GH_01_ENT_20180906_CS_E_5_11_391.ZIP,2018-09-06,2018-09-06,CS,17625486.6777773,No
550419,GH_01_ENT_20180914_CS_E_5_11_393,CENWS,CENWS_GH_01_ENT,"BAR, ENTRANCE, PT. CHEHALIS",Washington South,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWS/GH_01_ENT_20180914_CS_E_5_11_393.ZIP,2018-09-14,2018-09-14,CS,19813240.3258529,No
